operated_at,geohash,avg_lightlux,latitude,longitude,si,gungu,dong,weight
2024-06-08 20:00:00,wykj0jsb,41.0,36.065,129.382,경상북도,포항시 북구,두호동,0.0026591766524289915
2024-06-22 05:00:00,wy7vpvt9,41.0,36.066,129.372,경상북도,포항시 북구,두호동,0.0026591766524289915
2024-06-08 20:00:00,wykj0jst,41.666666666666664,36.066,129.381,경상북도,포항시 북구,두호동,0.002703496263302808
2024-06-07 21:00:00,wykj0jwc,41.0,36.066,129.384,경상북도,포항시 북구,두호동,0.0026591766524289915
2024-06-07 01:00:00,wykj0jxt,41.0,36.066,129.385,경상북도,포항시 북구,두호동,0.0026591766524289915
2024-06-15 02:00:00,wykj0jxv,41.75,36.066,129.386,경상북도,포항시 북구,두호동,0.0027090362146620353
2024-06-15 02:00:00,wykj0mb2,39.5,36.067,129.387,경상북도,포항시 북구,두호동,0.0025594575279629045
2024-06-02 00:00:00,wykj0mf5,39.666666666666664,36.067,129.389,경상북도,포항시 북구,환호동,0.0025705374306813585
2024-06-26 00:00:00,wy7vpynn,41.0,36.069,129.372,경상북도,포항시 북구,두호동,0.0026591766524289915
2024-06-26 23:00:00,wy7vpyny,40.0,36.069,129.373,경상북도,포항시 북구,두호동,0.002592697236118267
2024-06-04 21:00:00,wy7vpyqw,40.0,36.071,129.373,경상북도,포항시 북구,장성동,0.002592697236118267
2024-06-30 01:00:00,wykj0ner,40.5,36.072,129.38,경상북도,포항시 북구,장성동,0.0026259369442736295
2024-06-21 21:00:00,wykj0nu5,39.5,36.073,129.381,경상북도,포항시 북구,장성동,0.0025594575279629045
2024-06-24 21:00:00,wykj0nuy,40.0,36.073,129.382,경상북도,포항시 북구,장성동,0.002592697236118267
2024-06-22 22:00:00,wykj0pn1,41.0,36.074,129.383,경상북도,포항시 북구,장성동,0.0026591766524289915
2024-06-22 22:00:00,wykj0pn6,41.0,36.074,129.384,경상북도,포항시 북구,장성동,0.0026591766524289915
2024-06-08 01:00:00,wykj0x0q,40.333333333333336,36.075,129.397,경상북도,포항시 북구,환호동,0.0026148570415551755
2024-06-08 01:00:00,wykj0p7t,41.5,36.076,129.38,경상북도,포항시 북구,장성동,0.002692416360584354
2024-06-22 01:00:00,wykj0r2m,39.333333333333336,36.076,129.387,경상북도,포항시 북구,장성동,0.0025483776252444505
2024-06-09 01:00:00,wykj0rsx,39.25,36.078,129.392,경상북도,포항시 북구,장성동,0.0025428376738852233
2024-06-12 00:00:00,wykj0pzs,40.0,36.079,129.385,경상북도,포항시 북구,장성동,0.002592697236118267
2024-06-04 04:00:00,wy7vr22t,40.0,36.081,129.343,경상북도,포항시 북구,흥해읍,0.002592697236118267
2024-06-02 02:00:00,wykj20r8,41.0,36.081,129.385,경상북도,포항시 북구,장성동,0.0026591766524289915
2024-06-02 20:00:00,wykj22rc,40.5,36.081,129.397,경상북도,포항시 북구,양덕동,0.0026259369442736295
2024-06-29 21:00:00,wykj287h,39.5,36.081,129.401,경상북도,포항시 북구,양덕동,0.0025594575279629045
